tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
kssd	sample_0	1.5558359999999984	145.00001899999995	0.023088000000000105	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.0025782739719054	0.6229369062492224	0.01154400000000005
kssd	sample_33	1.6317410000000012	150.00001699999996	0.041037000000000046	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.9528676694126132	0.5920499710184559	0.02051851025925515
kssd	sample_34	1.5358519999999976	152.00001599999996	0.03118500000000011	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.9419011675999441	0.5852361003323333	0.01559249220375395
kssd	sample_35	1.6453460000000018	146.00001599999996	0.048415000000000076	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.0433892830951716	0.6482942119321388	0.02420748789625609
kssd	sample_36	1.5369639999999993	140.00001599999996	0.03022699999999994	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.8518276783103438	0.5292702947590235	0.015113507556753749
kssd	sample_37	1.552992000000002	142.00001699999996	0.03821099999999989	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.9386314780496472	0.5832045279895692	0.019105509552754724
kssd	sample_38	1.5260179999999992	153.00000599999998	0.018709999999999963	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.8969903255769467	0.5573314252429571	0.009354999999999981
kssd	sample_39	1.5816219999999983	139.00002599999993	0.03676800000000007	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.1094979677063408	0.6893698471588416	0.018384000000000036
kssd	sample_4	1.6978449999999996	149.00002199999994	0.022437999999999975	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.8645067353065593	0.5371482358080447	0.011218999999999986
kssd	sample_40	1.504789	115.00000299999998	0.009139	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.8795257079153664	0.5464800481710905	0.004569497715251143
kssd	sample_41	1.6262860000000008	132.00000799999998	0.025484999999999917	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.0006848848938172	0.6217604774702926	0.012742493628753146
kssd	sample_42	1.630255000000001	162.00001699999996	0.051354000000000004	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.9356707371385837	0.5813649162293457	0.025677000000000002
kssd	sample_43	1.5223200000000026	159.00001099999997	0.04152099999999994	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.0577491912860884	0.6572165245482241	0.02076051038025516
kssd	sample_44	1.5264779999999996	151.00001399999996	0.03508900000000007	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.0363919387451588	0.6439465174383325	0.017544508772254424
kssd	sample_45	1.5504910000000014	140.0	0.024794000000000066	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.9858385735519514	0.6125359455842428	0.012397000000000031
kssd	sample_46	1.594365	147.00001499999996	0.05054699999999997	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.0049346202424294	0.6244009865050183	0.0252734873632563
kssd	sample_47	1.6754139999999984	144.00000799999998	0.03606400000000004	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.9256069016001455	0.5751119036336515	0.01803200000000002
kssd	sample_48	1.4533249999999993	164.00001999999995	0.03574900000000001	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.0642300212820939	0.6612432906296841	0.017874508937254473
kssd	sample_49	1.5009609999999987	153.00001299999997	0.02091800000000009	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.9803772786714492	0.6091426522870552	0.010459000000000045
kssd	sample_5	1.6827880000000006	142.00000599999998	0.04602699999999995	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.0560568864252509	0.6561650364182607	0.023013511506755728
kssd	sample_50	1.6695030000000002	156.00001499999996	0.03757999999999994	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.016507374017515	0.6315915427145355	0.01878999999999997
kssd	sample_51	1.3832149999999994	168.00003199999992	0.011642000000000024	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.031732678040155	0.6410515559930928	0.005821000000000012
kssd	sample_32	1.419684999999999	144.00002299999994	0.042627	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.033471088400507	0.6421316910805798	0.02131348934325533
kssd	sample_52	1.6573850000000017	147.00001699999996	0.021192000000000082	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.7864712947102694	0.48866209043181846	0.010596010596010638
kssd	sample_31	1.622166000000001	153.99999100000002	0.028232000000000017	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.9172408492154691	0.5699137830226964	0.014116000000000007
kssd	sample_3	1.6769450000000012	155.000005	0.026909999999999972	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.9432093735636939	0.5860489343992102	0.013454999999999986
kssd	sample_190	1.7847040000000007	147.999999	0.03067700000000003	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.839724530576915	0.5217501862541083	0.015338492330753852
kssd	sample_191	1.6099870000000005	144.00002299999994	0.03227199999999991	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.9933826418173881	0.6172233387462612	0.016136016136016094
kssd	sample_192	1.7689550000000003	184.00000699999998	0.059745000000000076	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.9627835009500839	0.5982110235578944	0.02987251493625751
