tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
kssd	sample_0	1.5558359999999984	145.00001899999995	0.26450099999999993	0.9125	0.9125	0.9125	73.0	7.0	7.0	80.0	0.8390804597701149	4.175218208982316	0.952805301534422	0.13299721285155505
kssd	sample_33	1.6317410000000012	150.00001699999996	0.23850300000000002	0.9012345679012346	0.9125	0.9068322981366459	73.0	7.0	8.0	80.0	0.8295454545454546	4.153358728270164	0.9478168606748473	0.11990082290644986
kssd	sample_34	1.5358519999999976	152.00001599999996	0.223904	0.8902439024390244	0.9240506329113924	0.9068322981366461	73.0	6.0	9.0	79.0	0.8295454545454546	4.119509125431322	0.942798555910312	0.11300783217602059
kssd	sample_35	1.6453460000000018	146.00001599999996	0.28897200000000006	0.8902439024390244	0.9240506329113924	0.9068322981366461	73.0	6.0	9.0	79.0	0.8295454545454546	4.186412178630224	0.9581101136763873	0.14502403918537776
kssd	sample_36	1.5369639999999993	140.00001599999996	0.21083500000000016	0.8888888888888888	0.935064935064935	0.9113924050632912	72.0	5.0	9.0	77.0	0.8372093023255814	4.052421865790648	0.932919749444327	0.10651820588046576
kssd	sample_37	1.552992000000002	142.00001699999996	0.17923500000000003	0.881578947368421	0.9305555555555556	0.9054054054054054	67.0	5.0	9.0	72.0	0.8271604938271605	4.018633077426027	0.939664908503684	0.09007865768803387
kssd	sample_38	1.5260179999999992	153.00000599999998	0.24422700000000003	0.8928571428571429	0.9146341463414634	0.9036144578313253	75.0	7.0	9.0	82.0	0.8241758241758241	4.144009789838822	0.9403843442968316	0.1229938283262451
kssd	sample_39	1.5816219999999983	139.00002599999993	0.281574	0.9012345679012346	0.9240506329113924	0.9125	73.0	6.0	8.0	79.0	0.8390804597701149	4.069913478840493	0.9314480035601274	0.1420631533061492
kssd	sample_4	1.6978449999999996	149.00002199999994	0.2765069999999999	0.8902439024390244	0.9358974358974359	0.9125	73.0	5.0	9.0	78.0	0.8390804597701149	4.072380929071762	0.9347379159525163	0.13950253595567916
kssd	sample_40	1.504789	115.00000299999998	0.20831699999999997	0.9090909090909091	0.9090909090909091	0.9090909090909091	70.0	7.0	7.0	77.0	0.8333333333333334	4.066163194171769	0.9360831803641348	0.10482935546026799
kssd	sample_41	1.6262860000000008	132.00000799999998	0.3337629999999999	0.8987341772151899	0.8875	0.8930817610062892	71.0	9.0	8.0	80.0	0.8068181818181818	4.084313596490283	0.9320604224931291	0.16812452870296538
kssd	sample_42	1.630255000000001	162.00001699999996	0.218974	0.8589743589743589	0.9178082191780822	0.8874172185430463	67.0	6.0	11.0	73.0	0.7976190476190477	4.029859914261845	0.9392606944638093	0.10996214643474451
kssd	sample_43	1.5223200000000026	159.00001099999997	0.22863199999999995	0.8902439024390244	0.9358974358974359	0.9125	73.0	5.0	9.0	78.0	0.8390804597701149	4.1750331373903204	0.9582997862546357	0.11517892047217754
kssd	sample_44	1.5264779999999996	151.00001399999996	0.17914000000000002	0.8941176470588236	0.9382716049382716	0.9156626506024096	76.0	5.0	9.0	81.0	0.8444444444444444	4.16560099892709	0.9479233579248438	0.08956964172143313
kssd	sample_45	1.5504910000000014	140.0	0.23169099999999998	0.9024390243902439	0.891566265060241	0.896969696969697	74.0	9.0	8.0	83.0	0.8131868131868132	4.168624100578987	0.9433750774408723	0.11667594101013966
kssd	sample_46	1.594365	147.00001499999996	0.24724999999999997	0.896551724137931	0.9176470588235294	0.9069767441860465	78.0	7.0	9.0	85.0	0.8297872340425532	4.267781175195963	0.9606383505707579	0.12452632151512646
kssd	sample_47	1.6754139999999984	144.00000799999998	0.272433	0.9036144578313253	0.9146341463414634	0.9090909090909091	75.0	7.0	8.0	82.0	0.8333333333333334	4.263558623999413	0.9675131055027577	0.13625322024285547
kssd	sample_48	1.4533249999999993	164.00001999999995	0.15591200000000002	0.8928571428571429	0.9146341463414634	0.9036144578313253	75.0	7.0	9.0	82.0	0.8241758241758241	4.1781166723754755	0.9481240891325906	0.07834915606513486
kssd	sample_49	1.5009609999999987	153.00001299999997	0.22658799999999998	0.8674698795180723	0.9	0.8834355828220859	72.0	8.0	11.0	80.0	0.7912087912087912	4.1301651376323685	0.9425239693778683	0.11426640712463058
kssd	sample_5	1.6827880000000006	142.00000599999998	0.267734	0.8795180722891566	0.9012345679012346	0.8902439024390244	73.0	8.0	10.0	81.0	0.8021978021978022	4.247472838439554	0.9665540978949294	0.1338674016022048
kssd	sample_50	1.6695030000000002	156.00001499999996	0.3057720000000001	0.9036144578313253	0.9146341463414634	0.9090909090909091	75.0	7.0	8.0	82.0	0.8333333333333334	4.201292024941213	0.9533831835439546	0.15361629185146186
kssd	sample_51	1.3832149999999994	168.00003199999992	0.16438300000000003	0.8809523809523809	0.9135802469135802	0.8969696969696969	74.0	7.0	10.0	81.0	0.8131868131868132	4.100071780198882	0.9330115415806877	0.08237267870681562
kssd	sample_32	1.419684999999999	144.00002299999994	0.18171799999999994	0.9113924050632911	0.935064935064935	0.923076923076923	72.0	5.0	7.0	77.0	0.8571428571428571	4.153994306785925	0.9563030346357552	0.09100488082396081
kssd	sample_52	1.6573850000000017	147.00001699999996	0.24927000000000002	0.8717948717948718	0.8947368421052632	0.8831168831168831	68.0	8.0	10.0	76.0	0.7906976744186046	4.068421146379805	0.9394300749329482	0.12578771865374289
kssd	sample_31	1.622166000000001	153.99999100000002	0.250918	0.8875	0.922077922077922	0.9044585987261146	71.0	6.0	9.0	77.0	0.8255813953488372	4.132372163053669	0.9513253384379756	0.12658165267759758
kssd	sample_3	1.6769450000000012	155.000005	0.27512600000000015	0.9058823529411765	0.9390243902439024	0.9221556886227545	77.0	5.0	8.0	82.0	0.8555555555555555	4.1628391732989085	0.9446572245062472	0.13866413187118914
kssd	sample_190	1.7847040000000007	147.999999	0.3247550000000001	0.8765432098765432	0.9102564102564102	0.8930817610062893	71.0	7.0	10.0	78.0	0.8068181818181818	4.155824534752869	0.9538908153085449	0.16301955250755099
kssd	sample_191	1.6099870000000005	144.00002299999994	0.21860300000000002	0.9102564102564102	0.9102564102564102	0.9102564102564102	71.0	7.0	7.0	78.0	0.8352941176470589	4.056274014015794	0.9310408786482799	0.11016602790397644
kssd	sample_192	1.7689550000000003	184.00000699999998	0.3151149999999999	0.872093023255814	0.9146341463414634	0.8928571428571429	75.0	7.0	11.0	82.0	0.8064516129032258	4.252964244733923	0.9651089634026985	0.15764933073515325
kssd	sample_193	1.9587190000000005	127.00001499999999	0.32766699999999993	0.8846153846153846	0.9078947368421053	0.8961038961038961	69.0	7.0	9.0	76.0	0.8117647058823529	3.9549369908022647	0.9132257010635477	0.16788790905984063
kssd	sample_194	1.5958890000000014	172.00002499999994	0.2652	0.8795180722891566	0.9125	0.8957055214723926	73.0	7.0	10.0	80.0	0.8111111111111111	4.129059984925331	0.9422717681022548	0.133510138614938
kssd	sample_195	1.6839660000000005	152.00000599999998	0.2838399999999999	0.9024390243902439	0.9135802469135802	0.9079754601226994	74.0	7.0	8.0	81.0	0.8314606741573034	4.192465167625855	0.954036562959928	0.14192014192014193
kssd	sample_196	1.5265400000000011	137.00000899999998	0.21441500000000008	0.9135802469135802	0.925	0.9192546583850932	74.0	6.0	7.0	80.0	0.8505747126436781	4.171874905681538	0.9520423433008222	0.10760504684557098
kssd	sample_197	1.7022359999999996	158.00000899999998	0.299763	0.8705882352941177	0.891566265060241	0.880952380952381	74.0	9.0	11.0	83.0	0.7872340425531915	4.191726932088454	0.9486033338004033	0.1508603574291792
kssd	sample_198	1.7831419999999982	157.000005	0.2815320000000001	0.8941176470588236	0.8941176470588236	0.8941176470588236	76.0	9.0	9.0	85.0	0.8085106382978723	4.2214784518240585	0.9502160327477552	0.14122738988274694
kssd	sample_199	1.7231639999999993	163.00001299999997	0.29119099999999987	0.8292682926829268	0.8947368421052632	0.860759493670886	68.0	8.0	14.0	76.0	0.7555555555555555	4.047247874398164	0.9345410018088475	0.1469538680795937
kssd	sample_2	1.621995	152.00000999999997	0.225744	0.8928571428571429	0.9146341463414634	0.9036144578313253	75.0	7.0	9.0	82.0	0.8241758241758241	4.186779289637158	0.950089863845164	0.11287233861701584
kssd	sample_20	1.6233090000000001	163.00001599999996	0.2647529999999999	0.8780487804878049	0.9113924050632911	0.8944099378881988	72.0	7.0	10.0	79.0	0.8089887640449438	4.212381919370732	0.9640535970677373	0.13237669856504783
kssd	sample_21	1.4643230000000016	142.00001899999995	0.26712100000000005	0.9113924050632911	0.9230769230769231	0.9171974522292994	72.0	6.0	7.0	78.0	0.8470588235294118	4.151166615696005	0.9528216782047916	0.13497728911519766
kssd	sample_22	1.6021640000000001	136.00002499999994	0.24788	0.8961038961038961	0.8961038961038961	0.8961038961038962	69.0	8.0	8.0	77.0	0.8117647058823529	4.169525773489385	0.9598785784723463	0.12418414603109712
kssd	sample_23	1.5074809999999976	152.00000899999998	0.226648	0.8902439024390244	0.8902439024390244	0.8902439024390244	73.0	9.0	9.0	82.0	0.8021978021978022	4.21595200132401	0.9567099160994488	0.11404740267516857
kssd	sample_24	1.432383000000002	139.00001299999997	0.22046800000000005	0.9156626506024096	0.926829268292683	0.9212121212121213	76.0	6.0	7.0	82.0	0.8539325842696629	4.162944484526036	0.944681122381564	0.11104272416005767
kssd	sample_25	1.6608750000000003	125.00000399999999	0.29864999999999997	0.9	0.9230769230769231	0.9113924050632911	72.0	6.0	8.0	78.0	0.8372093023255814	4.075499927911024	0.935453823065738	0.15073010604858486
kssd	sample_26	1.6927640000000008	161.00001399999996	0.27651600000000004	0.8690476190476191	0.9012345679012346	0.8848484848484849	73.0	8.0	11.0	81.0	0.7934782608695652	4.1701361911735875	0.9489553853956079	0.13950968085664586
kssd	sample_27	1.625017	147.00002299999997	0.29442	0.9	0.9	0.9	72.0	8.0	8.0	80.0	0.8181818181818182	4.045088472913292	0.9231090566418557	0.1488616196702413
kssd	sample_28	1.6492119999999992	141.000002	0.31342699999999996	0.8953488372093024	0.9166666666666666	0.9058823529411765	77.0	7.0	9.0	84.0	0.8279569892473119	4.101015780742273	0.9255665415489224	0.16026357866274782
kssd	sample_29	1.4306750000000004	167.000002	0.16599299999999992	0.8850574712643678	0.927710843373494	0.9058823529411766	77.0	6.0	10.0	83.0	0.8279569892473119	4.289903002634698	0.9708209422773921	0.08299629250926868
kssd	sample_30	1.5714180000000002	174.00000699999998	0.26320899999999986	0.8928571428571429	0.8928571428571429	0.8928571428571429	75.0	9.0	9.0	84.0	0.8064516129032258	4.2222236453977295	0.9529221895384982	0.13199103574818855
kssd	sample_54	1.717120000000002	126.00001999999998	0.29772099999999996	0.8875	0.922077922077922	0.9044585987261146	71.0	6.0	9.0	77.0	0.8255813953488372	4.110967989904322	0.9463978218780341	0.14944070353146088
kssd	sample_55	1.4786770000000002	160.00002299999994	0.23237000000000002	0.8941176470588236	0.9156626506024096	0.9047619047619048	76.0	7.0	9.0	83.0	0.8260869565217391	4.210505455142598	0.952852983136252	0.11660852215245775
kssd	sample_56	1.7622040000000008	153.00001899999995	0.30635399999999996	0.8795180722891566	0.9240506329113924	0.9012345679012346	73.0	6.0	10.0	79.0	0.8202247191011236	4.150793392860006	0.9499583318099193	0.15330700433968003
kssd	sample_80	1.680133999999999	147.00001999999995	0.25265600000000005	0.8809523809523809	0.9024390243902439	0.8915662650602411	74.0	8.0	10.0	82.0	0.8043478260869565	4.231629276251567	0.9602675003356785	0.1266178282087699
kssd	sample_81	1.636605999999999	143.00000799999998	0.24917500000000004	0.8888888888888888	0.9230769230769231	0.9056603773584906	72.0	6.0	9.0	78.0	0.8275862068965517	4.097216190586035	0.940438379881189	0.1256973447050735
kssd	sample_82	1.565735000000001	136.00000899999998	0.235375	0.9156626506024096	0.926829268292683	0.9212121212121213	76.0	6.0	7.0	82.0	0.8539325842696629	4.200348962687662	0.9531691780217882	0.11863473907413746
kssd	sample_83	1.7279169999999997	144.999997	0.28226000000000007	0.8734177215189873	0.9078947368421053	0.8903225806451613	69.0	7.0	10.0	76.0	0.8023255813953488	4.103968115568972	0.9476381464986792	0.1423562567960411
kssd	sample_84	1.8377270000000028	144.00003299999997	0.291144	0.8888888888888888	0.9	0.8944099378881988	72.0	8.0	9.0	80.0	0.8089887640449438	4.164778989781935	0.9504230204415189	0.14584619083877692
